Angle,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction
18.785261,626.175415,626.175415,626.175415,626.175415,counterclockwise,0,0,737.180115,737.180115,clockwise
21.802052,726.735107,726.735107,726.735107,726.735107,clockwise,0,0,1946.515991,1946.515991,counterclockwise
2.587319,86.243973,86.243973,86.243973,86.243973,clockwise,0,0,2088.851318,2088.851318,clockwise
47.730396,1591.013306,1591.013306,1591.013306,1591.013306,counterclockwise,0,0,2337.069580,2337.069580,counterclockwise
17.416628,580.554321,580.554321,580.554321,580.554321,clockwise,0,0,708.188538,708.188538,counterclockwise
26.922407,897.413635,897.413635,897.413635,897.413635,clockwise,0,0,1572.743774,1572.743774,counterclockwise
35.672466,1189.082275,1189.082275,1189.082275,1189.082275,clockwise,0,0,1421.495605,1421.495605,counterclockwise
18.335222,611.174133,611.174133,611.174133,611.174133,clockwise,0,0,1887.603149,1887.603149,counterclockwise
7.579102,252.636749,252.636749,252.636749,252.636749,counterclockwise,0,0,2108.612305,2108.612305,counterclockwise
11.855376,395.179230,395.179230,395.179230,395.179230,clockwise,0,0,796.716980,796.716980,counterclockwise
47.877571,1595.919189,1595.919189,1595.919189,1595.919189,counterclockwise,0,0,2211.324219,2211.324219,counterclockwise
1.967776,65.592522,65.592522,65.592522,65.592522,counterclockwise,0,0,2591.971924,2591.971924,counterclockwise
21.680771,722.692444,722.692444,722.692444,722.692444,counterclockwise,0,0,344.411285,344.411285,counterclockwise
4.267631,142.254379,142.254379,142.254379,142.254379,clockwise,0,0,2174.082031,2174.082031,clockwise
24.318134,810.604553,810.604553,810.604553,810.604553,clockwise,0,0,987.588318,987.588318,counterclockwise
29.755756,991.858643,991.858643,991.858643,991.858643,clockwise,0,0,1070.807373,1070.807373,counterclockwise
5.304669,176.822327,176.822327,176.822327,176.822327,clockwise,0,0,1852.334351,1852.334351,counterclockwise
27.027533,900.917847,900.917847,900.917847,900.917847,clockwise,0,0,1782.713623,1782.713623,counterclockwise
41.012737,1367.091309,1367.091309,1367.091309,1367.091309,counterclockwise,0,0,2309.974854,2309.974854,counterclockwise
45.058376,1501.946045,1501.946045,1501.946045,1501.946045,counterclockwise,0,0,2464.177002,2464.177002,counterclockwise
41.071842,1369.061523,1369.061523,1369.061523,1369.061523,counterclockwise,0,0,2242.862549,2242.862549,counterclockwise
52.715740,1757.191528,1757.191528,1757.191528,1757.191528,counterclockwise,0,0,2756.074707,2756.074707,counterclockwise
35.129440,1170.981445,1170.981445,1170.981445,1170.981445,counterclockwise,0,0,2882.128174,2882.128174,counterclockwise
5.471073,182.369125,182.369125,182.369125,182.369125,counterclockwise,0,0,2173.483643,2173.483643,counterclockwise
5.581205,186.040176,186.040176,186.040176,186.040176,clockwise,0,0,1014.695374,1014.695374,clockwise
24.998495,833.283203,833.283203,833.283203,833.283203,counterclockwise,0,0,578.738159,578.738159,clockwise
10.227395,340.913208,340.913208,340.913208,340.913208,counterclockwise,0,0,480.724396,480.724396,clockwise
3.555473,118.515770,118.515770,118.515770,118.515770,counterclockwise,0,0,2647.495605,2647.495605,counterclockwise
33.544106,1118.136963,1118.136963,1118.136963,1118.136963,clockwise,0,0,2734.861328,2734.861328,counterclockwise
11.427218,380.907318,380.907318,380.907318,380.907318,counterclockwise,0,0,2782.564453,2782.564453,counterclockwise
28.253828,941.794312,941.794312,941.794312,941.794312,counterclockwise,0,0,539.356934,539.356934,counterclockwise
15.291082,509.702789,509.702789,509.702789,509.702789,counterclockwise,0,0,101.769943,101.769943,clockwise
9.023584,300.786163,300.786163,300.786163,300.786163,counterclockwise,0,0,2885.510986,2885.510986,counterclockwise
50.042702,1668.090210,1668.090210,1668.090210,1668.090210,clockwise,0,0,2012.380615,2012.380615,counterclockwise
48.911556,1630.385376,1630.385376,1630.385376,1630.385376,clockwise,0,0,2464.215332,2464.215332,counterclockwise
54.763947,1825.464966,1825.464966,1825.464966,1825.464966,clockwise,0,0,2873.371826,2873.371826,counterclockwise
50.132816,1671.093994,1671.093994,1671.093994,1671.093994,clockwise,0,0,2768.685059,2768.685059,counterclockwise
54.040733,1801.357910,1801.357910,1801.357910,1801.357910,counterclockwise,0,0,3159.254883,3159.254883,counterclockwise
31.811298,1060.376709,1060.376709,1060.376709,1060.376709,clockwise,0,0,2149.635742,2149.635742,counterclockwise
18.924324,630.810852,630.810852,630.810852,630.810852,counterclockwise,0,0,2248.426514,2248.426514,counterclockwise
7.969661,265.655396,265.655396,265.655396,265.655396,clockwise,0,0,1513.410645,1513.410645,clockwise
16.177038,539.234619,539.234619,539.234619,539.234619,counterclockwise,0,0,1125.632935,1125.632935,counterclockwise
10.773769,359.125671,359.125671,359.125671,359.125671,clockwise,0,0,590.031982,590.031982,counterclockwise
41.401268,1380.042358,1380.042358,1380.042358,1380.042358,clockwise,0,0,2612.203857,2612.203857,counterclockwise
18.764549,625.485046,625.485046,625.485046,625.485046,counterclockwise,0,0,141.787933,141.787933,counterclockwise
45.900799,1530.026733,1530.026733,1530.026733,1530.026733,counterclockwise,0,0,1439.613770,1439.613770,counterclockwise
24.274345,809.144897,809.144897,809.144897,809.144897,counterclockwise,0,0,122.702019,122.702019,clockwise
10.112678,337.089264,337.089264,337.089264,337.089264,clockwise,0,0,420.283600,420.283600,clockwise
46.900009,1563.333740,1563.333740,1563.333740,1563.333740,counterclockwise,0,0,2980.152100,2980.152100,counterclockwise
7.869040,262.301331,262.301331,262.301331,262.301331,counterclockwise,0,0,1591.002075,1591.002075,clockwise
3.624946,120.831535,120.831535,120.831535,120.831535,clockwise,0,0,1578.397217,1578.397217,clockwise
19.465681,648.856079,648.856079,648.856079,648.856079,clockwise,0,0,1078.625000,1078.625000,clockwise
6.862364,228.745499,228.745499,228.745499,228.745499,counterclockwise,0,0,1992.811035,1992.811035,clockwise
14.275485,475.849548,475.849548,475.849548,475.849548,clockwise,0,0,334.021637,334.021637,counterclockwise
44.974480,1499.149414,1499.149414,1499.149414,1499.149414,counterclockwise,0,0,2243.626221,2243.626221,counterclockwise
50.613297,1687.109985,1687.109985,1687.109985,1687.109985,clockwise,0,0,2741.952148,2741.952148,counterclockwise
31.069599,1035.653442,1035.653442,1035.653442,1035.653442,clockwise,0,0,1761.908813,1761.908813,counterclockwise
30.986292,1032.876465,1032.876465,1032.876465,1032.876465,clockwise,0,0,1870.236206,1870.236206,counterclockwise
29.926907,997.563599,997.563599,997.563599,997.563599,clockwise,0,0,1367.586548,1367.586548,counterclockwise
8.308049,276.934998,276.934998,276.934998,276.934998,clockwise,0,0,1857.109131,1857.109131,counterclockwise
39.976593,1332.553223,1332.553223,1332.553223,1332.553223,counterclockwise,0,0,2758.188232,2758.188232,counterclockwise
32.669498,1088.983398,1088.983398,1088.983398,1088.983398,counterclockwise,0,0,1901.646973,1901.646973,counterclockwise
34.652088,1155.069702,1155.069702,1155.069702,1155.069702,counterclockwise,0,0,257.079834,257.079834,counterclockwise
21.757420,725.247375,725.247375,725.247375,725.247375,counterclockwise,0,0,1578.575195,1578.575195,counterclockwise
42.271564,1409.052246,1409.052246,1409.052246,1409.052246,clockwise,0,0,2534.052490,2534.052490,counterclockwise
10.292125,343.070862,343.070862,343.070862,343.070862,counterclockwise,0,0,481.691925,481.691925,counterclockwise
36.506222,1216.874146,1216.874146,1216.874146,1216.874146,clockwise,0,0,599.530334,599.530334,counterclockwise
37.489315,1249.643921,1249.643921,1249.643921,1249.643921,counterclockwise,0,0,1255.949097,1255.949097,counterclockwise
32.900715,1096.690552,1096.690552,1096.690552,1096.690552,clockwise,0,0,3164.583496,3164.583496,counterclockwise
20.822924,694.097534,694.097534,694.097534,694.097534,counterclockwise,0,0,1206.725586,1206.725586,counterclockwise
41.957623,1398.587524,1398.587524,1398.587524,1398.587524,clockwise,0,0,1843.001587,1843.001587,counterclockwise
16.108490,536.949707,536.949707,536.949707,536.949707,clockwise,0,0,415.992889,415.992889,counterclockwise
14.867824,495.594147,495.594147,495.594147,495.594147,clockwise,0,0,1435.832397,1435.832397,counterclockwise
38.461132,1282.037842,1282.037842,1282.037842,1282.037842,clockwise,0,0,2137.132568,2137.132568,counterclockwise
41.071308,1369.043701,1369.043701,1369.043701,1369.043701,clockwise,0,0,2948.964111,2948.964111,counterclockwise
22.929041,764.301392,764.301392,764.301392,764.301392,counterclockwise,0,0,811.142883,811.142883,counterclockwise
3.116383,103.879433,103.879433,103.879433,103.879433,clockwise,0,0,470.309479,470.309479,clockwise
13.698580,456.619354,456.619354,456.619354,456.619354,clockwise,0,0,2125.291748,2125.291748,counterclockwise
1.551041,51.701382,51.701382,51.701382,51.701382,counterclockwise,0,0,306.825470,306.825470,clockwise
31.113300,1037.110107,1037.110107,1037.110107,1037.110107,clockwise,0,0,1301.658325,1301.658325,counterclockwise
38.916355,1297.211914,1297.211914,1297.211914,1297.211914,clockwise,0,0,2024.501953,2024.501953,counterclockwise
19.506590,650.219727,650.219727,650.219727,650.219727,clockwise,0,0,740.261414,740.261414,clockwise
30.702742,1023.424805,1023.424805,1023.424805,1023.424805,clockwise,0,0,1709.082153,1709.082153,counterclockwise
33.712002,1123.733521,1123.733521,1123.733521,1123.733521,clockwise,0,0,2680.938477,2680.938477,counterclockwise
42.780273,1426.009277,1426.009277,1426.009277,1426.009277,counterclockwise,0,0,1690.556519,1690.556519,counterclockwise
41.624760,1387.492065,1387.492065,1387.492065,1387.492065,clockwise,0,0,2646.006836,2646.006836,counterclockwise
20.581095,686.036560,686.036560,686.036560,686.036560,counterclockwise,0,0,2545.536865,2545.536865,counterclockwise
1.419542,47.318066,47.318066,47.318066,47.318066,counterclockwise,0,0,121.097740,121.097740,clockwise
29.539650,984.655090,984.655090,984.655090,984.655090,clockwise,0,0,1528.524048,1528.524048,counterclockwise
36.170860,1205.695435,1205.695435,1205.695435,1205.695435,clockwise,0,0,1530.803223,1530.803223,counterclockwise
11.851166,395.038879,395.038879,395.038879,395.038879,clockwise,0,0,2095.905273,2095.905273,counterclockwise
55.796577,1859.886108,1859.886108,1859.886108,1859.886108,clockwise,0,0,3162.594727,3162.594727,counterclockwise
36.645416,1221.513916,1221.513916,1221.513916,1221.513916,clockwise,0,0,1283.858521,1283.858521,counterclockwise
20.428282,680.942749,680.942749,680.942749,680.942749,counterclockwise,0,0,2104.792480,2104.792480,counterclockwise
3.408611,113.620384,113.620384,113.620384,113.620384,clockwise,0,0,2081.988525,2081.988525,clockwise
5.636625,187.887512,187.887512,187.887512,187.887512,clockwise,0,0,822.309143,822.309143,clockwise
40.264675,1342.155884,1342.155884,1342.155884,1342.155884,counterclockwise,0,0,2489.005127,2489.005127,counterclockwise
30.356838,1011.894714,1011.894714,1011.894714,1011.894714,counterclockwise,0,0,983.908630,983.908630,counterclockwise
2.300215,76.673859,76.673859,76.673859,76.673859,clockwise,0,0,2066.760742,2066.760742,clockwise
44.642517,1488.083984,1488.083984,1488.083984,1488.083984,clockwise,0,0,2016.849609,2016.849609,counterclockwise
20.225573,674.185791,674.185791,674.185791,674.185791,clockwise,0,0,43.048286,43.048286,counterclockwise
42.349377,1411.645996,1411.645996,1411.645996,1411.645996,counterclockwise,0,0,1479.759033,1479.759033,counterclockwise
3.062109,102.070312,102.070312,102.070312,102.070312,clockwise,0,0,1824.437988,1824.437988,clockwise
6.678175,222.605850,222.605850,222.605850,222.605850,counterclockwise,0,0,328.941437,328.941437,counterclockwise
9.466133,315.537781,315.537781,315.537781,315.537781,counterclockwise,0,0,2250.565430,2250.565430,counterclockwise
29.174320,972.477417,972.477417,972.477417,972.477417,clockwise,0,0,361.867432,361.867432,counterclockwise
30.025362,1000.845459,1000.845459,1000.845459,1000.845459,counterclockwise,0,0,526.510071,526.510071,counterclockwise
17.087234,569.574524,569.574524,569.574524,569.574524,clockwise,0,0,1515.486084,1515.486084,counterclockwise
37.077003,1235.900269,1235.900269,1235.900269,1235.900269,counterclockwise,0,0,2149.355713,2149.355713,counterclockwise
41.437355,1381.245239,1381.245239,1381.245239,1381.245239,clockwise,0,0,2386.356689,2386.356689,counterclockwise
9.427104,314.236816,314.236816,314.236816,314.236816,clockwise,0,0,361.727325,361.727325,counterclockwise
9.694171,323.139069,323.139069,323.139069,323.139069,clockwise,0,0,966.554504,966.554504,clockwise
3.755428,125.180946,125.180946,125.180946,125.180946,counterclockwise,0,0,2162.049805,2162.049805,counterclockwise
29.506390,983.546387,983.546387,983.546387,983.546387,clockwise,0,0,2488.343018,2488.343018,counterclockwise
18.434118,614.470642,614.470642,614.470642,614.470642,counterclockwise,0,0,2391.054932,2391.054932,counterclockwise
42.323284,1410.776245,1410.776245,1410.776245,1410.776245,counterclockwise,0,0,1322.093750,1322.093750,counterclockwise
23.248241,774.941467,774.941467,774.941467,774.941467,clockwise,0,0,381.246246,381.246246,clockwise
1.606771,53.559048,53.559048,53.559048,53.559048,clockwise,0,0,1504.421753,1504.421753,clockwise
13.585670,452.855682,452.855682,452.855682,452.855682,clockwise,0,0,1263.855835,1263.855835,counterclockwise
21.641670,721.389038,721.389038,721.389038,721.389038,counterclockwise,0,0,923.773560,923.773560,counterclockwise
27.698643,923.288147,923.288147,923.288147,923.288147,clockwise,0,0,1699.672852,1699.672852,counterclockwise
6.731430,224.381012,224.381012,224.381012,224.381012,clockwise,0,0,2767.446045,2767.446045,counterclockwise
38.975307,1299.177002,1299.177002,1299.177002,1299.177002,counterclockwise,0,0,2565.174072,2565.174072,counterclockwise
6.446890,214.896347,214.896347,214.896347,214.896347,clockwise,0,0,1531.439941,1531.439941,counterclockwise
19.817564,660.585510,660.585510,660.585510,660.585510,clockwise,0,0,2660.855469,2660.855469,counterclockwise
37.263287,1242.109619,1242.109619,1242.109619,1242.109619,counterclockwise,0,0,734.697449,734.697449,counterclockwise
25.509516,850.317261,850.317261,850.317261,850.317261,clockwise,0,0,1662.112305,1662.112305,counterclockwise
8.785623,292.854095,292.854095,292.854095,292.854095,counterclockwise,0,0,591.241577,591.241577,clockwise
26.346926,878.230896,878.230896,878.230896,878.230896,clockwise,0,0,2282.001953,2282.001953,counterclockwise
21.110035,703.667908,703.667908,703.667908,703.667908,clockwise,0,0,401.694305,401.694305,clockwise
24.930054,831.001831,831.001831,831.001831,831.001831,clockwise,0,0,1992.238037,1992.238037,counterclockwise
11.147096,371.569885,371.569885,371.569885,371.569885,clockwise,0,0,741.152649,741.152649,counterclockwise
33.158638,1105.287964,1105.287964,1105.287964,1105.287964,clockwise,0,0,923.417053,923.417053,counterclockwise
6.985837,232.861267,232.861267,232.861267,232.861267,counterclockwise,0,0,1783.210205,1783.210205,counterclockwise
7.748318,258.277283,258.277283,258.277283,258.277283,clockwise,0,0,476.115082,476.115082,clockwise
